Title,Region,Country,Servings
Chicken Tagine,Northern Africa,Moroccan,8
Moroccan Lentil Soup,Northern Africa,Moroccan,6
Moroccan Harira (Bean Soup),Northern Africa,Moroccan,10
Moroccan Shabbat Fish,Northern Africa,Moroccan,6
Olive Chicken I,Northern Africa,Moroccan,5
"Moroccan Chicken Tagine with Preserved Lemons, Fennel, Olives, and Harissa",Northern Africa,Moroccan,4
Moroccan Spicy Carrot Salad,Northern Africa,Moroccan,6
Moroccan Spiced Sea Bass Ceviche,Northern Africa,Moroccan,6
Slow Cooker Root Vegetable Tagine,Northern Africa,Moroccan,8
Spicy Chickpea Tagine,Northern Africa,Moroccan,4
Moroccan Tagine with Olives and Artichoke Hearts,Northern Africa,Moroccan,6
Slow Cooker Chicken Marrakesh,Northern Africa,Moroccan,8
B'stilla,Northern Africa,Moroccan,4
Make-Ahead Moroccan Lamb Stew,Northern Africa,Moroccan,6
Moroccan Chicken,Northern Africa,Moroccan,4
Moroccan Stew with Chicken and Pearl Onions,Northern Africa,Moroccan,6
Moroccan Chicken and Whole Grain Couscous,Northern Africa,Moroccan,6
Make-Ahead Vegetarian Moroccan Stew,Northern Africa,Moroccan,6
Moroccan Chicken with Saffron and Preserved Lemon,Northern Africa,Moroccan,4
Moroccan Chickpea Stew,Northern Africa,Moroccan,4
