Title,Region,Country,Servings
Chicken Tagine,Northern Africa,Moroccan,8
Moroccan Lentil Soup,Northern Africa,Moroccan,6
Moroccan Harira (Bean Soup),Northern Africa,Moroccan,10
Moroccan Shabbat Fish,Northern Africa,Moroccan,6
Olive Chicken I,Northern Africa,Moroccan,5
"Moroccan Chicken Tagine with Preserved Lemons, Fennel, Olives, and Harissa",Northern Africa,Moroccan,4
Moroccan Spicy Carrot Salad,Northern Africa,Moroccan,6
Moroccan Spiced Sea Bass Ceviche,Northern Africa,Moroccan,6
Slow Cooker Root Vegetable Tagine,Northern Africa,Moroccan,8
Spicy Chickpea Tagine,Northern Africa,Moroccan,4
Moroccan Tagine with Olives and Artichoke Hearts,Northern Africa,Moroccan,6
Slow Cooker Chicken Marrakesh,Northern Africa,Moroccan,8
B'stilla,Northern Africa,Moroccan,4
Make-Ahead Moroccan Lamb Stew,Northern Africa,Moroccan,6
Moroccan Chicken,Northern Africa,Moroccan,4
Moroccan Stew with Chicken and Pearl Onions,Northern Africa,Moroccan,6
Moroccan Chicken and Whole Grain Couscous,Northern Africa,Moroccan,6
Make-Ahead Vegetarian Moroccan Stew,Northern Africa,Moroccan,6
Moroccan Chicken with Saffron and Preserved Lemon,Northern Africa,Moroccan,4
Moroccan Chickpea Stew,Northern Africa,Moroccan,4
Ras el Hanout,Northern Africa,Moroccan,12
Moroccan Cooked Pepper Salad,Northern Africa,Moroccan,6
Moroccan Chicken Sann,Northern Africa,Moroccan,6
Moroccan Black-Eyed Peas (Cowpeas),Northern Africa,Moroccan,8
Moroccan Sweet Potato and Raisin Salad,Northern Africa,Moroccan,4
Moroccan Couscous,Northern Africa,Moroccan,8
Cold Roasted Moroccan Spiced Salmon,Northern Africa,Moroccan,6
Moroccan Lentil Soup with Veggies,Northern Africa,Moroccan,7
Sweet and Nutty Moroccan Couscous,Northern Africa,Moroccan,6
Citrons Confits Express (Quick Preserved Lemons),Northern Africa,Moroccan,8
Matbucha,Northern Africa,Moroccan,6
Spanish Moroccan Fish,Northern Africa,Moroccan,6
Marrakesh Vegetable Curry,Northern Africa,Moroccan,6
Christina's Harira,Northern Africa,Moroccan,6
Moroccan Potato Bean Soup,Northern Africa,Moroccan,8
Mama Marie's Moroccan Tuna Brik,Northern Africa,Moroccan,20
Beghrir (Moroccan Pancakes),Northern Africa,Moroccan,6
Moroccan-Style Lamb Shanks with Apricots,Northern Africa,Moroccan,2
Lamb Tagine,Northern Africa,Moroccan,4
Moroccan Lamb Kabobs,Northern Africa,Moroccan,6
"Moroccan Semolina Soup with Milk, Anise Seeds, and Honey",Northern Africa,Moroccan,4
Moroccan Chicken Tagine,Northern Africa,Moroccan,6
Moroccan Meat Cigars,Northern Africa,Moroccan,4
Moroccan Shepherd's Pie,Northern Africa,Moroccan,4
Moroccan Tagine,Northern Africa,Moroccan,5
Moroccan Ksra,Northern Africa,Moroccan,16
Moroccan Peach Roasted Chicken,Northern Africa,Moroccan,6
Mushroom and Chickpea Tagine,Northern Africa,Moroccan,4
Harira,Northern Africa,Moroccan,6
Lamb Chops with Preserved Lemon (Moroccan Style),Northern Africa,Moroccan,4
Moroccan Style Eggplant,Northern Africa,Moroccan,8
Salat Tangier,Northern Africa,Moroccan,8
Ras El Hanout Couscous,Northern Africa,Moroccan,6
Chermoula Roasted Tomatoes,Northern Africa,Moroccan,4
